PGA (g),PoE (IO Bare),PoE (IO Concrete Jacketing),PoE (LS Bare),PoE (LS Concrete Jacketing),PoE (CP Bare),PoE (CP Concrete Jacketing)
1.565565566,1,0.9999999882,1,0.9967110999,1,0.7955262819
1.567567568,1,0.9999999887,1,0.9967856384,1,0.7979926925
1.56956957,1,0.9999999892,1,0.9968585612,1,0.8004380965
1.571571572,1,0.9999999897,1,0.9969299014,1,0.8028625152
1.573573574,1,0.9999999901,1,0.9969996913,1,0.8052659731
1.575575576,1,0.9999999905,1,0.9970679625,1,0.8076484979
1.577577578,1,0.9999999909,1,0.9971347462,1,0.8100101203
1.57957958,1,0.9999999913,1,0.9972000729,1,0.812350874
1.581581582,1,0.9999999917,1,0.9972639725,1,0.8146707956
1.583583584,1,0.999999992,1,0.9973264746,1,0.8169699248
1.585585586,1,0.9999999923,1,0.9973876079,1,0.819248304
1.587587588,1,0.9999999927,1,0.9974474006,1,0.8215059783
1.58958959,1,0.999999993,1,0.9975058807,1,0.8237429957
1.591591592,1,0.9999999933,1,0.9975630752,1,0.825959407
1.593593594,1,0.9999999936,1,0.997619011,1,0.8281552654
1.595595596,1,0.9999999938,1,0.9976737141,1,0.8303306268
1.597597598,1,0.9999999941,1,0.9977272103,1,0.8324855496
1.5995996,1,0.9999999943,1,0.9977795249,1,0.8346200947
1.601601602,1,0.9999999946,1,0.9978306824,1,0.8367343256
1.603603604,1,0.9999999948,1,0.9978807072,1,0.838828308
1.605605606,1,0.999999995,1,0.997929623,1,0.8409021098
1.607607608,1,0.9999999952,1,0.9979774531,1,0.8429558015
1.60960961,1,0.9999999954,1,0.9980242204,1,0.8449894557
1.611611612,1,0.9999999956,1,0.9980699472,1,0.847003147
1.613613614,1,0.9999999958,1,0.9981146556,1,0.8489969524
1.615615616,1,0.999999996,1,0.9981583671,1,0.8509709508
1.617617618,1,0.9999999962,1,0.9982011028,1,0.8529252231
1.61961962,1,0.9999999963,1,0.9982428834,1,0.8548598523
1.621621622,1,0.9999999965,1,0.9982837292,1,0.8567749233
1.623623624,1,0.9999999966,1,0.9983236601,1,0.8586705228
1.625625626,1,0.9999999968,1,0.9983626955,1,0.8605467394
1.627627628,1,0.9999999969,1,0.9984008546,1,0.8624036633
1.62962963,1,0.999999997,1,0.9984381562,1,0.8642413866
1.631631632,1,0.9999999972,1,0.9984746185,1,0.8660600031
1.633633634,1,0.9999999973,1,0.9985102595,1,0.8678596081
1.635635636,1,0.9999999974,1,0.998545097,1,0.8696402985
1.637637638,1,0.9999999975,1,0.9985791481,1,0.8714021728
1.63963964,1,0.9999999976,1,0.9986124298,1,0.8731453309
1.641641642,1,0.9999999977,1,0.9986449587,1,0.8748698743
1.643643644,1,0.9999999978,1,0.998676751,1,0.8765759056
1.645645646,1,0.9999999979,1,0.9987078227,1,0.878263529
1.647647648,1,0.999999998,1,0.9987381893,1,0.8799328499
1.64964965,1,0.9999999981,1,0.9987678662,1,0.8815839749
1.651651652,1,0.9999999982,1,0.9987968683,1,0.883217012
1.653653654,1,0.9999999982,1,0.9988252102,1,0.8848320701
1.655655656,1,0.9999999983,1,0.9988529064,1,0.8864292594
1.657657658,1,0.9999999984,1,0.998879971,1,0.8880086912
1.65965966,1,0.9999999984,1,0.9989064176,1,0.8895704776
