PGA (g),PoE(IO),PoE(LS),PoE(CP)
0.3863863863863864,0.9999757611848024,0.996872411197836,0.410023077565687
0.3883883883883884,0.9999786946390674,0.9972120650156597,0.4261213144608409
0.39039039039039036,0.999981276628388,0.9975165830332694,0.44225995048390976
0.3923923923923924,0.999983548730774,0.9977893710737452,0.45841175722255534
0.3943943943943944,0.9999855476842727,0.99803353432736,0.47454985560828705
0.3963963963963964,0.9999873059388559,0.9982519001154769,0.4906478423091385
0.3983983983983984,0.9999888521470482,0.9984470394175662,0.5066799090453937
0.40040040040040037,0.9999902115998569,0.9986212871617869,0.5226209541143333
0.4024024024024024,0.9999914066138911,0.9987767612913727,0.5384466855210325
0.4044044044044044,0.9999924568749596,0.9989153806288978,0.5541337152241512
0.4064064064064064,0.9999933797428853,0.999038881568588,0.5696596441169679
0.4084084084084084,0.999994190521781,0.9991488336333447,0.5850031374730905
0.41041041041041043,0.9999949026995893,0.9992466539382531,0.6001439906921617
0.4124124124124124,0.9999955281602825,0.9993336206061983,0.6150631852822415
0.4144144144144144,0.9999960773717589,0.9994108851839849,0.6297429351114217
0.4164164164164164,0.9999965595521497,0.999479484109173,0.6441667230507897
0.4184184184184184,0.9999969828169534,0.9995403492788503,0.6583193282134006
0.42042042042042044,0.9999973543091558,0.9995943177718699,0.6721868440689077
0.4224224224224224,0.9999976803142585,0.9996421407758094,0.6857566877805678
0.4244244244244244,0.9999979663619263,0.9996844917691442,0.6990176011702199
0.4264264264264264,0.9999982173157783,0.9997219740079722,0.7119596437674293
0.42842842842842843,0.999998437452676,0.9997551273651469,0.724574178441305
0.43043043043043044,0.9999986305327129,0.999784434567952,0.7368538501476475
0.43243243243243246,0.9999987998609758,0.9998103268785318,0.748792558350301
0.4344344344344344,0.9999989483420272,0.9998331892592485,0.7603854236941718
0.4364364364364364,0.9999990785279502,0.9998533650629872,0.771628749518718
0.43843843843843844,0.9999991926607058,0.999871160286251,0.7825199788052586
0.44044044044044045,0.9999992927094623,0.9998868474206698,0.793057647149698
0.44244244244244246,0.9999993804034865,0.999900668936355,0.8032413323447389
